height;year;suntime;treatment
88.27130454;3;4.08;2
85.75497291;3;3.08;2
82.54245165;3;4.4;2
73.63184322;3;3.3;2
79.56312894;3;3.15;2
105.5065603;3;5.45;2
92.31389514;3;4.97;2
105.636305;3;5.15;2
80.00800527;3;3.56;2
71.41840203;3;2.91;2
129.6565192;4;4.66;2
129.2108748;4;4.86;2
93.42984419;4;3.4;2
100.7759429;4;3.7;2
109.0180086;4;3.79;2
98.17395913;4;3.28;2
102.0023913;4;2.85;2
135.6124579;4;5.08;2
103.6464612;4;3.83;2
96.62908022;4;2.82;2
107.4154122;4;3.07;2
112.1986741;4;3.97;2
114.7601647;4;3.85;2
139.399039;4;4.41;2
150.0995761;5;3.93;2
130.6361765;5;3.47;2
132.8271856;5;3.91;2
167.9408747;5;5.23;2
154.9088604;5;4.52;2
155.7357289;5;4.75;2
144.9862711;5;4.19;2
168.1903405;5;4.54;2
171.8751233;5;4.58;2
161.1075072;5;4.68;2
136.2645804;5;3.98;2
157.0316624;5;4.45;2
171.2573672;5;5.05;2
123.5595872;5;3.02;2
183.5161646;6;4.28;2
187.7876923;6;4.68;2
177.461869;6;4.35;2
173.0584658;6;3.66;2
161.041805;6;3.57;2
195.7215134;6;5;2
202.6124708;6;4.67;2
167.7031166;6;3.71;2
159.4006414;6;2.91;2
203.5265711;6;5.25;2
201.5778431;6;5.06;2
194.5964315;6;4.55;2
182.1892294;6;4.12;2
156.4521804;6;3.27;2
30.01852186;1;4.83;3
27.22650393;1;5.45;3
30.3290033;1;3.45;3
38.63441314;1;5.3;3
33.81771531;1;5.48;3
23.14159833;1;2.91;3
32.97581293;1;3.66;3
32.31240714;1;5.13;3
40.04622963;1;4.07;3
33.17752682;1;5.41;3
13.25170644;1;3.61;3
16.17822789;1;3.03;3
39.07272821;1;5.02;3
26.78617978;1;4.76;3
43.73892023;2;3.19;3
56.89980244;2;4.11;3
52.32919904;2;4.72;3
52.31770611;2;3.05;3
66.21842845;2;5;3
39.12849692;2;3.4;3
61.85981179;2;5.07;3
56.41877723;2;3.22;3
65.50956015;2;4.55;3
56.77305905;2;4.84;3
40.66534281;2;3.78;3
66.14518678;2;5.32;3
45.90797515;2;3.6;3
59.29088217;2;3.73;3
79.46452881;3;3.95;3
88.99540211;3;4.45;3
72.59557105;3;4.09;3
78.21242376;3;4.61;3
67.44288001;3;2.86;3
65.17194284;3;3.15;3
83.67890008;3;5.15;3
82.00307293;3;4.7;3
81.04813856;3;4.83;3
79.04402539;3;4.19;3
82.00533189;3;4.37;3
63.03378359;3;3.3;3
82.48687459;3;4.09;3
65.46531675;3;3.51;3
112.2790342;4;5;3
119.2331876;4;4.84;3
105.6175225;4;3.91;3
108.2837701;4;4.13;3
63.88775963;4;2.87;3
81.93587987;4;3.67;3
81.51298461;4;3.41;3
93.90133754;4;3.1;3
118.3510964;4;5.23;3
77.59350293;4;2.85;3
88.20089389;4;3.26;3
95.0724201;4;4;3
128.9119652;4;5.36;3
102.4602797;4;3.44;3
147.9869277;5;5.49;3
152.9378482;5;4.96;3
143.2550909;5;4.3;3
147.428874;5;4.99;3
108.8243903;5;3.04;3
116.5267248;5;3.22;3
163.0787713;5;4.93;3
95.218766;5;3.03;3
108.5949751;5;2.96;3
161.1297425;5;5.33;3
138.0910429;5;4.63;3
126.9861345;5;3.22;3
137.5831785;5;4.21;3
112.8183968;5;2.88;3
150.0580724;6;3.93;3
191.3426703;6;5.05;3
182.0460169;6;5.17;3
137.6352048;6;3.35;3
185.734203;6;4.99;3
193.8260751;6;5.48;3
131.6783105;6;3.05;3
168.1394557;6;4.19;3
114.8302941;6;2.94;3
136.892751;6;3.14;3
181.7254237;6;5.11;3
153.8318203;6;3.6;3
164.5502686;6;4.46;3
140.1270444;6;3.11;3
